id1,id2,class
558840,160357,d
993006,592810,d
939147,1195300,d
445172,1353779,d
224689,1391862,s
488039,1389252,d
662296,993180,d
1046312,959740,d
1366769,1107881,d
1089451,1298754,d
1374303,593705,s
1001456,1089505,d
98092,98426,s
417603,958743,d
982741,1287942,s
655867,1366419,d
788761,789413,s
662587,210583,s
1287986,982742,d
655956,1366818,s
731636,968819,d
1411467,1059073,d
789455,788750,s
1374345,1116303,d
819494,592233,d
1004068,992986,d
1389284,828814,d
1319404,868171,d
1125658,1087814,d
1366534,947931,d
959944,714036,d
1004017,712476,d
488047,1002870,d
662662,1314040,d
1318912,636587,s
662038,1002898,d
618290,788827,d
122859,97894,d
821832,1366715,d
120708,1124574,d
1059123,992532,d
1114940,120729,d
566830,789400,s
982723,1288244,s
1125636,1366560,d
992791,992469,d
1108412,593682,s
662175,1366627,d
602557,1089303,d
959814,1366638,d
1363642,1363541,d
500982,1017502,d
1366575,1298792,d
992504,1118983,d
1374765,1299014,d
1124505,828349,d
1366736,1090078,d
169983,15818,d
593407,1374776,d
1353831,1292594,d
1125698,959458,d
500896,1141489,s
828177,592759,d
1348338,1348332,s
1411516,1002881,d
1298822,1366516,d
1058984,1004209,d
1017504,982691,d
822421,1298435,s
1348224,982677,s
1288279,1002903,s
958729,993024,s
127519,600988,d
413960,1040974,d
1124469,1089291,d
968722,958708,s
788770,734074,s
97206,1089744,d
732139,480079,d
1125641,392900,d
816468,1118486,d
663222,1195570,d
1004017,1125513,d
1086943,887045,d
1058610,383031,d
656040,1366797,s
828525,949700,d
1288247,384490,d
591339,982642,d
1383375,482417,d
146089,1041031,d
72580,97263,d
97660,285070,d
868233,1002807,d
1318986,944715,d
1302677,376819,d
982811,1366581,s
238014,1366545,d
662234,662519,s
1124442,1058491,d
1089436,819383,d
1002843,714042,s
1374729,1319130,d
123397,822317,d
1292626,374236,d
1298591,1353785,d
1398182,789529,d
939207,396657,d
982679,1366770,s
1108408,1374882,s
1374699,1299241,d
120267,655920,d
960060,982753,d
716342,698297,d
816515,1366665,s
1374665,1058687,d
662456,731206,d
662541,1125479,d
376128,1240395,d
661841,1124677,s
960021,1299129,d
789449,179740,d
1271473,1238575,d
1124528,712518,d
1298695,959521,s
392995,1046538,d
380227,592758,d
959158,120694,d
1004211,1059182,d
1089858,97561,d
822140,120030,d
1058725,671834,d
329928,1366709,d
1129407,821881,d
