id1,id2,class
1040770,125592,d
1241396,72607,d
1003914,1124326,d
1124320,133856,d
671955,662230,d
1349137,982666,s
959034,1125572,d
828066,485707,d
828169,558796,d
828325,828010,d
1374679,592770,d
1125016,1124885,d
1102113,1195639,d
822350,1108470,d
1058438,1317562,d
959403,959607,s
959388,1004072,d
1003994,1125127,d
828438,714127,d
593462,662498,s
714006,655907,s
1058524,1125271,d
617597,1001492,d
1004218,1059449,d
663322,382308,d
698925,992944,d
959951,602468,d
1288131,1118483,s
1058941,1059488,d
97438,602577,d
646188,1125513,d
1125672,480083,d
331271,491073,d
828631,960045,d
293132,98523,d
1090032,982742,d
959364,992777,d
822514,593476,d
992933,519457,d
1040924,1373270,d
1124839,1374849,s
120133,617601,d
993129,993172,s
1353762,662145,s
500871,787456,d
993188,1058441,s
602635,1374358,d
180552,17836,d
993172,992850,s
1374755,1089538,d
1059413,992774,d
1319408,1108438,d
1374224,662718,d
593335,1298635,s
1125101,1298823,s
1125550,958990,d
98491,1059475,d
663144,482424,d
959482,992444,s
497701,1116143,d
1298633,731845,d
1313905,98091,d
661906,992776,d
982647,1046723,s
663088,1004177,d
959289,959402,s
1059190,828239,d
1002890,560435,d
822075,1003953,d
1319044,819392,d
662874,661929,d
1089698,662948,s
714100,1159115,d
1391865,1002904,d
1287920,714052,s
960065,662251,d
418349,601015,d
143403,171452,d
1319171,1124417,d
992638,1059117,d
992474,655847,d
1040915,662189,d
992761,663023,d
593447,1124210,d
1221903,97378,d
593783,1195577,s
662986,345002,d
1263176,815659,d
1046573,944691,d
1117079,384859,d
1314055,330068,d
1242860,418323,d
1124108,822355,d
1089518,97281,d
633916,1004018,d
1199093,1287881,d
1046316,788373,d
559481,791086,d
655958,982837,s
1221853,959770,d
1058342,993006,s
959833,828033,d
944693,657798,d
646230,1319279,d
655997,655849,s
716373,1046562,d
716470,602463,d
482039,1002812,d
417708,121285,d
1195642,1124386,d
392887,887048,d
1004246,958761,d
383084,1002927,d
662440,1086923,s
97334,374185,d
938954,1125027,d
959479,633916,s
646169,480144,d
592754,649566,d
1288006,1119044,s
1374370,1288136,d
1004004,1089473,d
1288188,655347,s
646202,1041132,d
714004,1046540,s
1374388,1125262,d
646119,793284,d
958662,662538,d
1089697,1089705,d
731250,345015,d
1353772,1124935,d
180642,1046621,d
1318913,1124601,d
1059149,1124291,d
662746,160396,d
1298640,1004143,d
179723,982783,d
959227,1058965,d
1287793,1288112,s
958927,992813,d
633869,822411,s
662904,1058579,d
1089695,1319056,d
1059526,822507,d
463466,959430,d
1202939,663045,d
992762,982653,d
1366683,1348191,s
476588,406952,d
1125318,1374772,s
822144,1003899,d
655979,1366731,d
1366581,1374542,d
816552,1366612,d
139631,387662,d
1288256,714087,s
1288127,662154,d
661861,1318956,d
731826,329928,d
993132,992628,d
662666,662584,s
478317,1125118,d
1108491,117978,d
1298438,509739,d
1088076,1002917,d
822147,1090087,d
1366773,1088078,s
593345,993067,s
1238567,1299088,d
1089847,992739,d
1366802,476790,d
982807,1366755,s
600996,827924,d
822143,418409,s
827962,593396,d
1125617,968743,d
671819,1366415,d
1366614,1348280,d
1299167,1374244,d
789559,789466,d
787673,1353845,d
992570,1124841,s
982680,1366735,s
210572,120133,d
556294,662832,d
1348085,816448,d
662499,1059627,d
982751,947929,d
1348245,480148,d
1124979,593368,d
207872,788726,d
714071,1366765,s
958731,968700,d
180639,210584,d
819506,1195567,d
646106,1124430,d
1241412,1004102,d
1107789,1125333,d
662962,157622,d
656057,1119030,s
968769,1374262,s
1319065,828075,d
822427,1089474,d
1366546,1087781,s
471969,1242868,d
982655,947928,d
662175,1059237,d
789498,932797,d
1366744,656007,s
992766,819469,d
1411516,139613,d
593594,1374439,d
959572,662602,d
476278,1046304,d
661887,822292,s
179721,982655,s
827955,1058703,d
1366434,982910,s
509803,97388,d
392900,1319155,d
731851,828225,d
1125607,1089367,d
1326346,1313748,d
1348303,396661,d
788769,649573,d
1059434,593808,d
1268485,1041124,d
1089773,1041040,d
656022,816421,s
1089314,1353825,d
959042,959573,s
1058789,1366855,d
959232,120699,s
958910,959669,d
1226961,789612,d
477957,97220,d
1374352,804637,d
593599,1059133,d
733155,982642,d
401149,1373294,d
662245,993026,d
1041068,345002,d
1374677,1089718,d
656024,1366679,s
593361,970781,d
1298497,819498,d
1348141,982926,d
1374286,1298454,d
417708,633811,d
507008,1046336,d
959795,1059098,d
97238,446058,d
656051,733036,d
1299050,1287949,d
655909,656060,d
143422,788825,d
1288001,1366544,d
1125027,1125120,d
1004068,1003986,d
383042,1089412,d
992690,1125053,d
1124880,418333,d
1107621,827960,d
663261,1299067,s
1124370,713112,d
1292594,1087810,s
477988,731234,d
1319245,959451,d
1373293,1125543,d
388106,1317571,d
180537,698906,d
1002824,1374715,d
822467,1298747,d
662789,1124996,d
992815,633811,d
1004172,1087040,s
1107629,180614,d
100192,821911,d
970632,1040713,d
1124202,662853,d
72545,1125591,d
488091,384482,d
1298518,958992,d
1058793,133842,d
662062,143412,d
993010,379054,d
97952,1348303,d
698916,982830,d
992593,982695,d
816482,1124793,d
1058692,992596,d
1318828,828342,d
357896,828034,d
445164,1351865,d
15728,380255,d
121275,1287975,d
1089573,406814,d
655906,655923,s
120730,1298435,d
180557,1299187,d
1058843,992694,s
993025,1059090,d
939297,1058713,d
1125210,968700,d
655862,944695,s
1002906,655922,d
1116238,1001493,d
959828,1118496,d
982756,938968,d
1125211,928302,d
1089333,1374311,d
993010,482454,d
959921,410988,d
476256,868126,d
1086949,179771,d
662435,968717,d
1124379,662245,d
1366444,1348343,s
1124062,662483,d
944671,1002839,s
959270,712454,d
932717,959706,d
1108271,1089620,d
1040894,476798,d
816423,655877,s
1125043,661822,s
619276,1298710,d
120033,1089910,d
982673,1288013,s
125604,671989,d
1318988,636590,s
374236,97545,d
559275,1089606,d
1089294,1125182,d
98479,993045,d
1059132,1118487,d
861617,224782,d
714069,714050,s
452145,928336,d
731184,732184,s
1089342,828291,d
1041146,968721,d
828492,120020,d
1374873,160317,d
1366810,982762,s
1087787,1059035,d
822248,1089747,d
1226937,97464,d
238073,959077,d
968752,992578,s
1125483,470904,d
602624,98200,d
160345,822137,d
1003955,519475,d
822171,1202955,d
1287756,1002737,d
1125639,928308,d
661911,789571,d
1298965,993135,d
1366845,1299074,d
234033,669988,d
959983,959124,d
219513,1287773,d
593793,1195584,d
1288242,1288189,s
500982,992948,d
210603,655348,d
819381,662983,d
1108298,968798,d
1108311,592808,d
959684,1118977,d
1326196,17912,d
619266,662718,d
662815,619276,d
594127,1366486,d
1124578,1124593,s
939201,1374345,d
828197,828510,s
558785,1374703,d
489405,1118971,d
72626,662789,d
633732,1366414,d
21531,1366855,d
822400,1124203,d
959492,1004144,d
731691,1124132,d
417705,453770,s
671980,602524,d
1299190,1287793,d
497168,783998,s
662695,1195648,s
417702,662082,d
861584,1059047,d
716508,1348264,d
712474,120757,d
634544,958894,d
982798,1118787,s
716405,661925,s
662811,1298707,s
655898,656004,s
1040832,1374362,d
117978,1287898,s
1003954,1288126,d
560455,1040941,d
1287975,1287869,s
661841,992818,d
1366480,655869,s
446086,1366705,d
646247,1089985,d
1353836,716544,d
1299117,1089740,d
647080,1059266,d
1124048,992695,d
662899,1124961,d
1058461,1059381,d
959470,959262,s
1391861,1287923,d
1125326,1124965,d
1313963,633748,d
714009,1287795,d
992531,1374328,s
968777,1288099,d
656075,117975,d
993132,1125259,d
816445,1348141,d
731670,1288142,d
662597,663093,s
1287793,655948,s
331281,492926,d
1059573,1298590,s
1374220,1089456,s
731177,733139,s
968776,822355,s
1374354,1108338,d
1124799,1059064,d
822010,593812,s
1348211,1366468,s
1124494,384453,d
1366435,1046606,s
822298,716453,d
959767,959614,s
1058773,822517,d
1240391,97308,d
1118672,476681,d
617510,205141,d
181199,992557,d
1298856,656031,d
558784,1287869,d
868112,357905,d
928260,716500,d
210600,1089920,d
1059204,1102117,d
928263,662493,s
938995,671863,d
1058544,1004245,d
662772,593715,d
982751,944704,s
662994,816472,d
662337,1089892,s
384841,1366459,d
1366755,982647,s
1090002,662362,d
1125181,97431,d
1298665,1377854,d
968744,1003914,s
446073,497181,d
1058926,418352,d
1124472,993004,d
482039,1348184,d
418405,1288190,d
1287931,655347,s
1059493,939100,d
822022,822023,d
1348323,1366842,d
1287828,490601,d
662099,179771,d
662300,1089461,s
1288137,1366460,s
1298627,593807,s
1124725,822094,s
422229,1124841,d
1124322,293613,d
1043820,1108326,d
413918,392905,d
210616,959692,d
663178,662056,d
938973,205209,d
238012,992920,d
789146,646213,d
662263,1124174,s
1292618,816527,d
1089682,1366729,d
672061,671838,d
1107620,1373241,d
1107847,179722,d
1089763,1374725,s
1287976,982836,s
734097,982623,d
662775,663047,d
958637,1298559,s
992992,120095,d
1058633,959980,d
210604,1059075,s
1124958,993048,d
1221853,1102105,d
593407,822032,d
1348213,1090086,d
1366749,1348258,s
982722,816525,d
646336,1046629,d
399340,788854,d
1374221,822118,d
1124710,401142,d
1374318,1125506,d
959123,1299102,d
618306,264064,d
926135,828475,s
662579,506993,d
1125333,1299086,s
602586,1017504,s
1298727,662147,s
1298815,1089937,d
1059116,662752,s
1004042,97673,d
789518,816564,d
602450,1121271,d
1202959,120771,d
350153,1299218,d
1319373,1040804,d
120118,1240114,d
117992,557298,d
1309980,1366647,d
1003887,72559,d
960115,500797,d
17871,1366612,d
205216,1366433,d
828670,661895,d
1089813,180644,s
556458,1089334,d
388111,97210,d
1124643,656014,d
714968,1366722,s
392904,368564,d
959430,992435,d
560478,1002819,d
157570,1125218,d
293565,663192,d
410979,601012,d
413929,1319353,d
992544,661859,d
1288554,1002927,d
1319238,205155,d
1268478,663044,d
993007,210256,d
939258,97219,d
560498,179736,d
662445,672009,d
992421,1299002,d
1114961,992568,d
1287753,1366602,d
1313695,1348333,d
324581,557290,d
559748,1298584,d
1041115,1041121,s
982667,1002904,s
714056,655872,s
958783,662850,d
230119,787765,d
731869,1017578,d
120704,1001479,d
509785,500913,d
490600,982856,s
350152,1298902,d
393064,602630,d
210620,663150,d
1299035,1004147,d
1059476,944669,d
379403,1107845,d
662128,15754,d
662487,123428,d
1046638,1125160,d
1326199,1366720,d
17909,1058502,d
602149,120125,d
1046581,655918,d
663232,1348263,d
97424,1089886,d
1124122,1058854,d
1199123,992818,d
1313763,1046324,d
1195626,868231,d
1366722,1374354,d
1412071,1118496,d
21520,731704,d
1046603,816515,s
662054,992619,d
1040832,160355,d
593438,1298709,s
