id1,id2,sim,text1,text2
558840,160357,0.46915743,"Iluol'l'en hiihtelöupi,","Huolellinen lauleloo,"
993006,592810,0.54494923,Kangas allani kajahti.,"Kalamies mulle kaloja antoi,"
939147,1195300,0.07749843,"Väsy, väsy, västäräkki!","Nuarena velapivoksi,"
445172,1353779,0.3889223,Koivun lehen korkuukkaise.,Vai istuin revoin rekoihen;
224689,1391862,0.8703884,"5 heinänvetäjä miulle heinäsen,",Heinänved'äjä miuлǝ heinäzen;
488039,1389252,0.53181595,"mainitahan mansikaxi,","Vain otan isoini vanhan,"
662296,993180,0.49071652,"10 Lepistö mulle sauvan anto,",Riihmies[!] mulle jyviä anto.
1046312,959740,0.46291003,vein sen vanhalle ämmälle.,"Katselen veden neitosia,"
1366769,1107881,0.7,Kartanos kalliolle!,Kalliolle kamariis. 
1089451,1298754,0.372678,25 Tammi tuon tuvan takana.,"10 Löysin akan leipomasta,"
1374303,593705,0.8146132,Mie vaa peääsin päistäriin.,"Minä pääsin päistäriin,"
1001456,1089505,0.41812098,"15 Minä kyljen kukoollen,",Mikä lastun kuoren alla?
98092,98426,0.7181848,"Eikä ikkunat iloa,","Jo ei ikkunat iluo,"
417603,958743,0.16051447,ja tiase sulati tina,Kana hauvuksen kasalle.
982741,1287942,1.0000001,"Nuku, nuku, nurmilintu,","Nuku, nuku nurmilintu"
655867,1366419,0.78071994,Kasesmaalle kartanos!,"Kalliolle kartanosi,"
788761,789413,0.9733286,"heimokset, heläjämäh.","Heimokset heläjämä,"
662587,210583,0.8340576,"[Saua minun] tielle saatto,","Sauv̄a minut tielle suatto',"
1287986,982742,0.09672388,"Väsy, väsy västäräkki.","Tie pellolle pesäsi,"
655956,1366818,0.82199484,"Väsytä, väsytä, västäräkki,","Väsy, väsy, västäräkki,"
731636,968819,0.5384615,Kalamies mul kaloi anno,30 Kalevalan kankahia.
1411467,1059073,0.34815532,"Posso mulle puoli kylkiään,","Tule tetri tälle maalle,"
789455,788750,0.98373896,"Läkkää, langot, laulamahan,","Läkkä, langot, laulamahan,"
1374345,1116303,0.34565058,Lapin lapsi-tanterilla:,Kultatuolin kukkulalla. 
819494,592233,0.6154575,"Kalliolle kartanoisi,",10 Aita kaatu kallialle;#1
1004068,992986,0.6092718,"25 Peräseinät peuran luista,","Oviseinä oravan luista,"
1389284,828814,0.26457515,"Noitia on jo[ka norolla],","Pillu katto kannon päästä,"
1319404,868171,0.38490015,Veti vaskisen vekaran#3,10 Asu aijjan vissaksen!
1125658,1087814,0.07352146,"Väsyv väsyv, västäräkki,",Hamppu löi minun vakoon.
1366534,947931,0.6191035,"Väsy, kun minä väsytän.","Väsy, vähä västäräkki!"
959944,714036,0.4279605,"Tie pellolle pesäsi,",härjäp_pöyle pöyräm_pääss'.
1004017,712476,0.10955821,Helma[!] helmat helmustoa.,Jolla minä lentää löyhyttelin
488047,1002870,0.0949158,"väsy väsy västäräkki,",Veikkoin on vetelijäin.
662662,1314040,0.4364357,Tais se laatii Tahvanalle.,(t. ois minuvai tappanna).
1318912,636587,0.8718128,"Ken katteen katsonoo,","Ken kattie katsonoo,"
662038,1002898,0.50207895,Tuvantielle tunkiosi.,"Sauva minun tielle neuvo,"
618290,788827,0.6700252,"Laulan ma lambiset pihah,","laihan laulaa (on) tulloo(pi),"
122859,97894,0.36997005,"Sulosuinen äitin poika,",Pahan suovan mielen paitsi.
821832,1366715,0.085202865,"Väsy, vähä västäräkki!","Prokki miula saukosen,#4"
120708,1124574,0.7352146,"50 Joss' oli punaset puun juuret,","35 Tuli puut punaset,"
1059123,992532,0.7855844,minä oravat toukolinnulle.,"Minä oravan linnulle,"
1114940,120729,0.9207368,"Kuusi kammini tytärtä,","25 Kuusi kummini tytärtä,"
566830,789400,0.83333355,"Omenalla kulta pyörö,","Omenalle kulta pyörän,"
982723,1288244,0.7720488,"Tieppä pellollen pesäsi,","Tie pellolle pesäses,"
1125636,1366560,0.14002801,"Nuku, nuku, nurmi lintu,",Mie ne kalamiehelle.
992791,992469,0.55304086,Kakun annoin kalamiähell.,Minä kaarsin kankahalle
1108412,593682,0.8025722,30 Koira miull' oravã haukku;,Koira mulle oravan haukkui.
662175,1366627,0.57250255,Koivun oksalle kotojas. ,"Minä koiven kokolle,"
602557,1089303,0.5111986,"20 Sielä pantihin kilin lilin,","Kierosilmin keksinöö,"
959814,1366638,0.083045475,"Väsy, vähä västäräkki,","kissa lastui kokosi,"
1363642,1363541,0.574737,"Toinen sitoo silkkii,","Toinen pualaa silkkipualii,"
500982,1017502,0.617395,"Joka katein kahtoo,","Ken kattein sinnuu katsoi,"
1366575,1298792,0.42817438,"mie kaakun kalamiehille,",Kaskimaalle kartanosi!
992504,1118983,0.0717496,"Väsy, väsy, västäräkki!",Sijat sotki taikinaa
1374765,1299014,0.44232583,"Tappo kaksi veikostani,","Tappoi isän, tappoi äidin,"
1124505,828349,0.1909821,"Ilman ikkunattomille,","15 Sieltä minä löysin emännän leipomasta,"
1366736,1090078,0.13159035,"Rahi rauoista rakettu,","Punainen lintu se puita hakkaa,"
169983,15818,0.40061682,"Tuolla vanhalle v[arakse].""",70 Pahat vaivat vankataan.
593407,1374776,0.65131164,"Venäläinen, verikoira,","Venäläinen vainolainen,"
1353831,1292594,0.070099965,"Väsy, väsy västäräkki!","kukko miule sulkiaase,"
1125698,959458,0.7944301,Minä kakun kalamiehel,Minä sen kalamiehelle.
500896,1141489,0.75424737,"Kieron silmin keksinöö,","Kierosilmä keksinöö,"
828177,592759,0.4382504,Kolmannen kotavesiin.,"olkon nyt silmäse kiven navaxi,"
1348338,1348332,1.0000001,"Nuku, nuku, nurmilintu,","Nuku, nuku, nurmilintu,"
1411516,1002881,0.06855911,"Väsy väsy västäräkki,","Kyllä on versii minulla,"
