id1,id2,class
993123,821903,d
1318841,828290,d
1288988,1366601,d
1220678,559224,d
827982,662136,d
481313,716403,d
982848,476637,d
593362,1114954,d
482401,1090014,d
1238570,1002812,d
1040996,662704,d
959080,939151,d
1366458,117975,s
1318944,210576,d
160241,122825,d
1287868,816482,d
1348284,1366524,s
97846,556136,d
1124107,1059479,d
1195573,828126,d
593544,1298558,d
662052,662831,d
661940,992699,s
992690,662751,s
960110,1366602,d
1059286,1299258,d
593557,1319116,d
1089479,1087790,d
958936,663096,d
788791,959560,d
1108373,1313716,d
822532,959559,d
1003927,488107,d
1041096,662206,d
1041098,556091,d
1059199,819466,d
1299148,661998,s
928324,816465,d
959737,1059009,d
98436,488092,d
1374647,822309,d
1366851,387652,d
1125338,992449,d
120078,993136,d
1124877,958815,d
1004200,1299197,d
939078,1041244,s
120092,661836,d
662919,959742,d
1299054,716453,s
1366675,1119014,d
593484,566798,d
1124502,992863,d
822319,662960,s
558819,523662,d
1058808,1124215,s
462136,17899,d
816569,655888,s
712457,1313778,d
1058668,968804,d
788771,789128,s
992726,97837,d
1353831,1004043,d
1319368,133834,d
633757,982690,s
412472,557436,d
1125669,1124156,d
265497,1087781,d
1348264,1366697,s
1125205,982647,d
1288131,1087770,s
500945,97632,d
1287773,1366683,d
1319096,732157,d
488176,982768,d
1141579,982920,d
593580,593304,s
120077,662740,s
1118980,655873,s
982789,947930,d
1089761,1004187,d
928023,1089316,d
476570,714137,d
1125261,559465,d
1374584,1299192,d
982707,982760,s
828502,1298707,d
1195633,1089628,s
179764,1288015,s
716526,556282,d
556470,350175,d
992633,968720,d
329969,932722,d
1366817,1348191,s
1124077,125607,d
1090046,928261,s
1090073,938840,d
1089699,1125527,d
1089474,985841,d
663112,662441,d
788845,788765,s
1124584,1373295,d
374209,731172,d
1046322,793223,d
970654,160401,d
662032,489392,d
1058691,1089381,d
15833,1348212,d
72389,663179,d
1298809,478303,d
1124360,293535,d
636590,646237,d
160224,1002740,d
661904,982836,d
828071,374243,d
120105,993038,d
662426,662927,d
827916,1318947,d
120066,224711,s
1040993,592751,d
662715,476679,d
731671,1366850,d
374192,822136,d
593321,1319131,d
17889,602592,d
491075,816526,d
788780,732090,s
265517,368548,d
207858,861602,d
557301,712593,d
17798,886751,d
816500,982790,s
1089335,488057,d
1243877,1041210,d
959043,1089381,d
139618,207834,d
21564,731259,d
180589,265493,d
1125015,1089729,d
828332,1366509,d
827970,1124973,d
1373257,1195591,s
1125330,417717,d
653018,97610,d
72376,324581,d
1089867,992569,s
959519,982623,d
1299166,1366536,d
1287902,1366705,d
1374860,1298966,d
392904,1041177,d
1058576,1125055,d
1041017,559500,d
1124346,716383,d
816566,982653,s
1298839,1313919,d
1298675,1298837,s
828599,593632,d
97360,828134,d
662624,662443,s
662705,661860,d
1243516,423292,d
1125119,992956,d
1298482,1366739,d
1299168,1059266,d
633875,481317,s
647096,1366662,d
1125639,593569,d
1108461,480136,d
1109282,207880,d
593525,97939,d
661935,861597,d
662194,789432,d
1059173,357930,d
1125149,1004183,d
1004203,1059080,s
993080,1195589,d
481349,1348280,d
1004214,1059088,d
1374211,663303,d
958635,958866,d
1002870,180576,d
662785,1299252,d
1374654,1374770,d
1046687,822382,d
602518,1318927,d
1058665,662440,d
1041067,982753,d
992541,1374418,d
1004112,1002860,d
1125722,959461,d
379405,500985,d
732201,868242,d
1108425,1298563,d
714096,1287956,s
1287930,1002901,s
509800,656087,d
1089340,1298915,s
1124108,662202,d
382296,169942,d
959793,938986,d
482457,265682,d
1124881,1195638,d
207857,663165,d
968818,662366,d
15811,1374528,d
72592,716485,d
1298587,1003872,s
1125533,671944,d
1089609,1319045,d
992843,1366380,d
125627,1087810,d
1059139,662006,d
222810,17883,d
1118971,1088088,s
1059121,1089460,s
500903,1366561,d
1125125,662702,d
412468,828536,d
1318933,1046579,d
557215,602561,d
97707,122834,d
1202939,1287925,d
822424,1087795,d
662046,1089377,d
1348231,982645,s
662171,1058812,s
1041143,97829,d
1124810,1059559,d
828964,788850,d
593417,593539,d
357891,97449,d
1374386,1374744,d
993100,959614,d
1002887,1288166,s
480202,171501,d
171503,1383365,d
646346,1125641,d
663220,1124763,d
446103,1411511,d
1118822,982782,s
662897,1195620,d
1041247,1005861,d
662169,1124108,d
215535,662189,d
1374514,647088,d
1046554,1366698,d
560442,559255,d
1298685,1313973,d
364743,1366496,d
1348161,1348178,s
982769,1366563,s
1058613,958894,s
1124501,1125562,d
1089362,593466,d
1090039,1124777,d
1124883,663010,d
1108470,1002814,d
663255,1298508,d
72441,1348350,d
1089383,1041207,d
1374878,566765,d
662477,663300,d
672103,602677,s
662862,1288172,d
1348313,1287984,s
1298669,968752,s
560126,394572,d
120019,1373280,d
1124224,1299052,d
671831,179732,d
828616,959920,d
1116046,653029,d
868168,97337,d
1299236,959316,d
406949,982851,d
1058673,1004158,s
822277,593346,d
712524,224702,d
593773,1118949,d
868183,1313729,d
471925,982911,d
1046580,655877,s
157577,982672,d
1059639,959629,d
662038,661999,d
716373,1059639,s
662844,662537,s
229927,1124500,d
1087798,1366665,d
1287794,1366824,d
561888,938979,d
633754,816545,s
663081,1124831,s
224698,1001451,d
1089971,1046573,d
982661,1288255,s
1299186,1124132,d
602611,1017617,d
210588,656025,d
816550,944716,s
958782,992843,d
960045,662263,s
1199123,556128,d
230106,1374691,d
1059249,476572,d
649354,602665,d
1348279,655846,s
329978,887025,d
819531,712543,d
819408,1124205,s
1058558,17839,d
1086950,1287768,d
1348338,1287764,d
1124507,1319362,d
992754,1118483,d
1087798,481345,d
787768,1125567,d
117983,982715,s
714077,1366797,s
828298,560537,d
1059528,1124847,d
1268460,982742,d
982871,982748,d
716435,731874,d
993203,592799,d
1003983,959528,d
661801,959204,s
992548,959166,d
387656,329979,d
661923,822022,s
634533,1086962,d
593518,646257,d
1059278,646350,d
480270,633751,d
234005,1221894,d
1114945,1089338,d
1366782,982868,d
1195590,662245,d
1288171,1348306,s
